IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"JW0G","1","Каверина - апрель","2017-04-05","41E","2017-03-01","0",25816,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JW0H","1","Кожемяки - апрель","2017-04-05","41E","2017-03-01","0",18322,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JW0J","1","Простор - апрель","2017-04-05","41E","2017-03-01","0",45031,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KAWV","1","","2017-04-10","41E","2017-03-01","0",1761,755,1736.5,0.0,0.0,0.01,1736.51,0,0,"0     0"
"JW0L","1","Ясень - апрель","2017-04-05","41E","2017-03-01","0",36966,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JW0M","1","Конфетти - апрель","2017-04-05","41E","2017-03-01","0",33828,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"K7V6","1","","2017-04-11","41E","2017-03-01","0",2137,362,858.0,0.0,0.0,1000.0,1858.0,0,0,"0     0"
"KAXT","1","","2017-04-10","41E","2017-03-01","0",18886,359,1041.1,0.0,0.0,0.01,1041.11,0,0,"0     0"
"KB06","1","","2017-04-05","41E","2017-03-01","0",9643,657,1576.8,0.0,0.0,0.01,1576.81,0,0,"0     0"
"KB3S","1","","2017-04-01","41E","2017-03-01","0",14668,770,1603.14,0.0,0.0,0.01,1603.15,0,0,"0     0"
"JZEO","1","Клочко - апрель","2017-04-12","41E","2017-03-01","0",31221,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZF7","1","Мира - апрель","2017-04-12","41E","2017-03-01","0",46006,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KB73","1","","2017-04-10","41E","2017-03-01","0",26467,929,1765.1,0.0,18.39,0.01,1783.5,0,0,"0     0"
"KEHH","1","","2017-04-10","41E","2017-03-01","0",31669,0,0.0,0.0,0.0,500.0,500.0,0,0,"0     0"
