IDDOC,LINENO,SP5179,SP8035,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916
"JW0G",1,"1O","0",25816,0,0.0,0.0,0.0,0.01,0.01,0,0
"JW0H",1,"S","0",18322,0,0.0,0.0,0.0,0.01,0.01,0,0
"JW0J",1,"X","0",45031,0,0.0,0.0,0.0,0.01,0.01,0,0
"KAWV",1,"I","0",1761,755,1736.5,0.0,0.0,0.01,1736.51,0,0
"JW0L",1,"14","0",36966,0,0.0,0.0,0.0,0.01,0.01,0,0
"JW0M",1,"2C","0",33828,0,0.0,0.0,0.0,0.01,0.01,0,0
"K7V6",1,"2X","0",2137,362,858.0,0.0,0.0,1000.0,1858.0,0,0
"KAXT",1,"1X","0",18886,359,1041.1,0.0,0.0,0.01,1041.11,0,0
"KB06",1,"U","0",9643,657,1576.8,0.0,0.0,0.01,1576.81,0,0
"KB3S",1,"19","0",14668,770,1603.14,0.0,0.0,0.01,1603.15,0,0
"JZEO",1,"7","0",31221,0,0.0,0.0,0.0,0.01,0.01,0,0
"JZF7",1,"8","0",46006,0,0.0,0.0,0.0,0.01,0.01,0,0
"KB73",1,"24","0",26467,929,1765.1,0.0,18.39,0.01,1783.5,0,0
"KEHH",1,"R","0",31669,0,0.0,0.0,0.0,500.0,500.0,0,0
"KB8X",1,"1W","0",29145,697,1324.3,0.0,14.69,0.01,1339.0,0,0
"KB8Y",1,"23","0",26773,752,1428.8,0.0,15.03,0.01,1443.84,0,0
"JZFN",1,"2O","0",10004,0,0.0,0.0,0.0,0.01,0.01,0,0
"JZJC",1,"1B","0",11489,0,0.0,0.0,0.0,150.0,150.0,0,0
"JW09",1,"1L","0",22167,0,0.0,0.0,0.0,0.01,0.01,0,0
"K7UX",1,"15","0",8717,0,0.0,0.0,0.0,1000.0,1000.0,0,0
"K7UZ",1,"1G","0",5772,0,0.0,0.0,0.0,0.01,0.01,0,0
"KAX0",1,"2F","0",39736,606,1605.9,0.0,0.0,0.01,1605.91,0,0
"KAY1",1,"1N","0",32005,544,1305.6,0.0,0.0,0.01,1305.61,0,0
"JUNW",1,"1E","0",43224,0,0.01,0.0,0.0,0.0,0.01,0,0
